MEDIUM,FABRIC,TECHNIQUE,FORM,SUB-FORM,START_DATE,END_DATE,PAINTER,POTTER,SUBJECT_ADDITIONAL,LOCATION_COUNTRY,LOCATION_CITY,COLLECTION_NAME,COLLECTION_ID,PROVENIENCE,TRENDALL_ID,IMAGE_SERIES,SCENE_TYPE_A,MUSICAL_SCENE_TYPE_A,TRENDALL_DESCRIPTION_A,SIDE_A_DETAILS,SIDE_A_INSTRUMENTS_AND_NUMBERS,SIDE_A_PERFORMERS,SIDE_A_PERFORMER_LOCATION,SIDE_A_PERFORMER_ACTION,SIDE_A_NUMBER_OF_FIGURES,SIDE_A_COMPOSITION,SCENE_TYPE_B,MUSICAL_SCENE_TYPE_B,TRENDALL_DESCRIPTION_B,SIDE_B_DETAILS,SIDE_B_INSTRUMENTS_AND_NUMBERS,SIDE_B_PERFORMERS,SIDE_B_PERFORMER_LOCATION,SIDE_B_PERFORMER_ACTION,SIDE_B_NUMBER_OF_FIGURES,SIDE_B_COMPOSITION,IMAGE_IDS,NOTES,PUBLICATION,CATEGORY_1,CATEGORY_2,,,,,,
,Apulian,,Pelike,,360,340,Group of Ruvo 423,,,,Ruvo,Museo Archeologico Nazionale Jatta,1500,,15.43,8886-92,MYTHOLOGICAL,"MYTHOLOGICAL(KI), MYTHOLOGICAL(AU)","Upper register, L-R: Apollo and Marsyas: a youth (pan?) sits facing R, a woman with elaborate dress and mantle faces and gestures L holding a branch, a woman with star-studded drapery sits on a rock facing R, tugs at dress, above a nike with wings outspread sits L, looks down and R, centre a youth in long, very-elaborate dress with fluttering cloak and white sleeves plays the kithara, R arm with plektron held to strings and L held against strings at back, six pegs and a sash tied to L arm of the kithara, a small tree, then a woman with long, starred drapery and mantle sits facing L, a bearded satyr stands behind, rests R hand on the woman and holds two pipes of an aulos behind back, a woman with short, decorated chiton faces L holding spears and leading a dog, a sphinx under each handle facing in; middle: a woman's head with floral elements scrolling around; lower, L-R: Nereids with the arms of Achilles, a woman riding L on a sea-serpent, looking at a helmet held to the R, a woman with stick on a sea monster with female torso and two dogs' heads moving L, looking R, a woman with a shield on a hippocamp moving L","Upper register, L-R: Apollo and Marsyas: a youth (pan?) sits facing R, a woman with elaborate dress and mantle faces and gestures L holding a branch, a woman with star-studded drapery sits on a rock facing R, tugs at dress, above a nike with wings outspread sits L, looks down and R, centre a youth in long, very-elaborate dress with fluttering cloak and white sleeves plays the kithara, R arm with plektron held to strings and L held against strings at back, six pegs and a sash tied to L arm of the kithara, a small tree, then a woman with long, starred drapery and mantle sits facing L, a bearded satyr stands behind, rests R hand on the woman and holds two pipes of an aulos behind back, a woman with short, decorated chiton faces L holding spears and leading a dog, a sphinx under each handle facing in; middle: a woman's head with floral elements scrolling around; lower, L-R: Nereids with the arms of Achilles, a woman riding L on a sea-serpent, looking at a helmet held to the R, a woman with stick on a sea monster with female torso and two dogs' heads moving L, looking R, a woman with a shield on a hippocamp moving L","1_(KI),1_(AU)","M(KI),S(AU)","UPC(KI),UPR(AU)","STANDING(KI),LEANING(AU)","7_F,2_M,1_S,1_N,5_A,1_O",2 FRIEZES,"FUNERARY, MYTHOLOGICAL",,"Upper register, L-R: a woman seated R with a mirror, a woman facing R, looking L, with cista and sash, a central, ionic naiskos over a woman with mantle leaning on a pillar to R, looking L and tugging at shoulder, another woman seated R on a cista and looking L, holding a phiale, a woman moving L with an open cista and wreath, sphinxes under each handle; middle: a female head, _ facing L, with floral scrolls; lower: more nereids, a woman on a dolphin, tugging at her shoulder, a woman with a fish moving L and looking R, a woman on a hippocamp with a cuirass, another woman riding L on a fish, looking R","Upper register, L-R: a woman seated R with a mirror, a woman facing R, looking L, with cista and sash, a central, ionic naiskos over a woman with mantle leaning on a pillar to R, looking L and tugging at shoulder, another woman seated R on a cista and looking L, holding a phiale, a woman moving L with an open cista and wreath, sphinxes under each handle; middle: a female head, _ facing L, with floral scrolls; lower: more nereids, a woman on a dolphin, tugging at her shoulder, a woman with a fish moving L and looking R, a woman on a hippocamp with a cuirass, another woman riding L on a fish, looking R",,,,,"9_F,6_A,2_O",2 FRIEZES,"IMAG8886.jpg, IMAG8887.jpg, IMAG8888.jpg, IMAG8889.jpg, IMAG8890.jpg, IMAG8891.jpg, IMAG8892.jpg",,,MTH,FUN,,,,,,
,Apulian,,Loutrophoros,,360,340,Group of Ruvo 423,,"In the middle register, side A: a woman's head with florals, side B: a winged head with Phrygian cap with florals",,Naples,MANN,3242 (82265),,15.44,8893-95,"ADORNMENT, DINING, MYTHOLOGICAL",MYTHOLOGICAL(HA),"Upper register, L-R: A woman stand facing R with wreath in lowered hand and L hand on shoulder of a woman seated on a three-legged stool, facing R, with L hand on the strings of an arched, spiny-backed harp (7-ish strings), facing a woman with star-studded mantle leaning R on the edge of some cushions on a kline, gesturing and looking L, then on the kline two women seated facing one another, both looking R, L with fan and R with feet on a footrest, a thymiaterion...[no photos for a bit]...a figure seated L on a folding chair, a woman facing L with R foot on a cista and holding a phiale, then a woman with long, patterned, shapeless dress with white-spotted arms faces R with a sash-tied thyrsos and a tambourine, a woman in a fully-enveloping, spotted mantled dances R, another woman with long dress and mantle sits L at the edge of a kline playing the aulos (one pipe in each hand, widely separated), and on the kline a woman and a man sit facing L, looking at one another, holding hands, woman holding also a mirror, man (with elaborate dress, long hair, and wreath) with thyrsos, a tripod table in front with a small kantharos and various goods, the last three figures underneath a vine with grapes, then a young satyr moves L carrying three sashes and a thyrsos and a woman sits facing L with a bunch of grapes held over a situla","Upper register, L-R: A woman stand facing R with wreath in lowered hand and L hand on shoulder of a woman seated on a three-legged stool, facing R, with L hand on the strings of an arched, spiny-backed harp (7-ish strings), facing a woman with star-studded mantle leaning R on the edge of some cushions on a kline, gesturing and looking L, then on the kline two women seated facing one another, both looking R, L with fan and R with feet on a footrest, a thymiaterion...[no photos for a bit]...a figure seated L on a folding chair, a woman facing L with R foot on a cista and holding a phiale, then a woman with long, patterned, shapeless dress with white-spotted arms faces R with a sash-tied thyrsos and a tambourine, a woman in a fully-enveloping, spotted mantled dances R, another woman with long dress and mantle sits L at the edge of a kline playing the aulos (one pipe in each hand, widely separated), and on the kline a woman and a man sit facing L, looking at one another, holding hands, woman holding also a mirror, man (with elaborate dress, long hair, and wreath) with thyrsos, a tripod table in front with a small kantharos and various goods, the last three figures underneath a vine with grapes, then a young satyr moves L carrying three sashes and a thyrsos and a woman sits facing L with a bunch of grapes held over a situla",1_(HA),F(HA),UPL(HA),SEATED(HA),"8_F,1_M,1_A,4_?",2 FRIEZES,"DINING (DIONYSIAC), MYTHOLOGICAL","DINING (DIONYSIAC)(TYM), MYTHOLOGICAL(TYM), DINING (DIONYSIAC)(AU), MYTHOLOGICAL(AU)","Lower register, L-R: A woman with chest bared and short dress kneels facing R, wearing a Persian cap, draws an arrow on a bough, a youth with fluttering cloak lunges R, a tree growing behind, holding up a shield and a dagger contra a woman with elaborate clothes, short chiton, facing L with a bough, then a woman with a short, patterned chiton rides R on a horse with a spear contra a figure with a shield, an eros flying R above...[no photos or a bit]...then a nude youth prepares faces R and prepares to strike a fallen amazon with short, patterned chiton and semi-cuirass over stomach, fallen to knees and facing L, her shield fallen to the L, then another woman with short chiton and patterned drapery draws her bough and arrow towards the L, then a youth with short, belted, patterned tunic and boots moves R with a round shield and spear against a woman with short, patterned chiton with figure-eight shield and spear lunging L, then a nude youth rears back to L, faces R, and prepares to strike with a dagger a woman with short chiton, figure-eight shield, and spear facing L","Lower register, L-R: A woman with chest bared and short dress kneels facing R, wearing a Persian cap, draws an arrow on a bough, a youth with fluttering cloak lunges R, a tree growing behind, holding up a shield and a dagger contra a woman with elaborate clothes, short chiton, facing L with a bough, then a woman with a short, patterned chiton rides R on a horse with a spear contra a figure with a shield, an eros flying R above...[no photos or a bit]...then a nude youth prepares faces R and prepares to strike a fallen amazon with short, patterned chiton and semi-cuirass over stomach, fallen to knees and facing L, her shield fallen to the L, then another woman with short chiton and patterned drapery draws her bough and arrow towards the L, then a youth with short, belted, patterned tunic and boots moves R with a round shield and spear against a woman with short, patterned chiton with figure-eight shield and spear lunging L, then a nude youth rears back to L, faces R, and prepares to strike with a dagger a woman with short chiton, figure-eight shield, and spear facing L","1_(TYM),1_(AU)","F(TYM),F(AU)","UPL(TYM),UPC(AU)","STANDING(TYM),SEATED(AU)","10_F,3_M,1_S",2 FRIEZES,"IMAG8893.jpg, IMAG8894.jpg, IMAG8895.jpg",,,MTH,,,,,,,
,Apulian,,Loutrophoros,,360,340,Group of Ruvo 423,,,,Ruvo,Private Collection,,,15.44.1,8913-31,MYTHOLOGICAL,,"ADT: “Andromeda”; neck: eros moving L, looking R, with a sash between hands; shoulder: frontal woman's head in Phrygian cap, floral scrolls; body: upper: Andromeda, frontal, in long, elaborate dress and radiate crown, chained to a cave-structure, to L three figures (upper woman, lower R white-haired man with scepter, lower L youth with helmet and spears) with cista, fan, mirrors, etc., to R three figures (two women above, amazon (?) below) with fan, sash, ball, kalathos, cista; lower: two youths (amazons?) with spears climbing up a slope to R, under which Theseus with harpe is battling a sea monster","ADT: “Andromeda”; neck: eros moving L, looking R, with a sash between hands; shoulder: frontal woman's head in Phrygian cap, floral scrolls; body: upper: Andromeda, frontal, in long, elaborate dress and radiate crown, chained to a cave-structure, to L three figures (upper woman, lower R white-haired man with scepter, lower L youth with helmet and spears) with cista, fan, mirrors, etc., to R three figures (two women above, amazon (?) below) with fan, sash, ball, kalathos, cista; lower: two youths (amazons?) with spears climbing up a slope to R, under which Theseus with harpe is battling a sea monster",,,,,"8_F,2_M,2_E,8_A",2 ROWS,"MYTHOLOGICAL, STANDING_COUPLE","MYTHOLOGICAL(TYM), STANDING_COUPLE (?)(TYM)","ADT: “Poseidon and Amymone”; neck: a woman runs L, looks R, with wreath and phiale; shoulder: four lions, two each facing centre, with a central boar running L; body: upper: an Ionic naiskos in the centre covering a woman moving L with hydria, to L three female figures with phiale, mirror, wreath, tipped-over hydria, to R two women seating R, an eros in upper R, and Poseidon (nude youth with trident) leaning on pillar to lower R facing a woman to L; lower: a youth with drapery over  L arm leans R with branch and phiale, a woman moves L with upraised wreath and a tambourine, an eros to R facing L with upheld mirror, leaning back on a perirrhanterion","ADT: “Poseidon and Amymone”; neck: a woman runs L, looks R, with wreath and phiale; shoulder: four lions, two each facing centre, with a central boar running L; body: upper: an Ionic naiskos in the centre covering a woman moving L with hydria, to L three female figures with phiale, mirror, wreath, tipped-over hydria, to R two women seating R, an eros in upper R, and Poseidon (nude youth with trident) leaning on pillar to lower R facing a woman to L; lower: a youth with drapery over  L arm leans R with branch and phiale, a woman moves L with upraised wreath and a tambourine, an eros to R facing L with upheld mirror, leaning back on a perirrhanterion",1_(TYM),F(TYM),DOWNC(TYM),STANDING(TYM),"8_F,2_M,2_E",RADIAL,"IMAG8913.jpg, IMAG8914.jpg, IMAG8915.jpg, IMAG8916.jpg, IMAG8917.jpg, IMAG8918.jpg, IMAG8919.jpg, IMAG8920.jpg, IMAG8921.jpg, IMAG8922.jpg, IMAG8923.jpg, IMAG8924.jpg, IMAG8925.jpg, IMAG8926.jpg, IMAG8927.jpg, IMAG8928.jpg, IMAG8929.jpg, IMAG8930.jpg, IMAG8931.jpg",,,MTH,,,,,,,
,Apulian,,Alabastron,,360,340,Related to the V. and A. Painter,,,,Boston,Museum of Fine Arts,00.360,,15.48,8938,"ATTENDANT, MYTHOLOGICAL (?), FUNERARY","ATTENDANT(HA), MYTHOLOGICAL (?)(HA), FUNERARY(HA)","A woman with L foot up on a short ionic column leans R with a spiny-arched lyre on her L leg and hands on the strings (c. 11) facing a nude youth seated L, looking and  gesturing R, on a chair with back (name inscribed next to L arm: Menelaos) with an eros diving L from above with a wreath, towards a woman with patterned dress, polos, and mantle enrobing hair and shoulders facing L (name inscribed above: Helena), a ball and a bird near the seat","A woman with L foot up on a short ionic column leans R with a spiny-arched lyre on her L leg and hands on the strings (c. 11) facing a nude youth seated L, looking and  gesturing R, on a chair with back (name inscribed next to L arm: Menelaos) with an eros diving L from above with a wreath, towards a woman with patterned dress, polos, and mantle enrobing hair and shoulders facing L (name inscribed above: Helena), a ball and a bird near the seat",1_(HA),F(HA),L(HA),LEANING(HA),"2_F,1_M,1_E,1_A",SINGLE,ATTENDANT,,"A woman moves R with two stacked phialai, a youth with drapery over L shoulder and lab and staff sits on a cista facing L","A woman moves R with two stacked phialai, a youth with drapery over L shoulder and lab and staff sits on a cista facing L",,,,,"1_F,1_M",SINGLE,IMAG8938.jpg,,,MTH,,,,,,,
,Apulian,,Situla,Type 1,360,340,Related to the V. and A. Painter,,,,Tampa,Museum of Art,86.106,,15.51,8940-44,"MYTHOLOGICAL, HOMOSEXUAL PURSUIT","MYTHOLOGICAL(AKI), HOMOSEXUAL PURSUIT(AKI)","An old, white-haired man with boots, cloak, and a crook moves R after a swan/goose moving R below and a nude youth with long hair and back turned outwards with a mantle; above and centre a small eros grabs at a woman seated R, looking frontal, with long dress holding a cista, a bird with a sash in upper R and an Apulian kithara with straight, spiny arms with 9 (?) pegs stands _ vertical","An old, white-haired man with boots, cloak, and a crook moves R after a swan/goose moving R below and a nude youth with long hair and back turned outwards with a mantle; above and centre a small eros grabs at a woman seated R, looking frontal, with long dress holding a cista, a bird with a sash in upper R and an Apulian kithara with straight, spiny arms with 9 (?) pegs stands _ vertical",1_(AKI),N/A(AKI),UPC(AKI),N/A(AKI),"1_F,2_M,1_E,2_A",2 ROWS,ATTENDANT,ATTENDANT(AU),"A woman moves R with a wreath and a phiale, a youth sits L on drapery holding a short stick (possibly an aulos pipe?), then a woman in full mantle moves R, looks L carrying a wreath","A woman moves R with a wreath and a phiale, a youth sits L on drapery holding a short stick (possibly an aulos pipe?), then a woman in full mantle moves R, looks L carrying a wreath",1_(AU),M(AU),C(AU),SEATED(AU),"2_F,1_M",SINGLE,"IMAG8940.jpg, IMAG8941.jpg, IMAG8942.jpg, IMAG8943.jpg, IMAG8944.jpg",,,MTH,,,,,,,
,Apulian,,Krater,Volute,360,340,Group of Vatican W 4,,Mascaroons of female heads on both sides of the handles,,Rome,Baracco,233,,15.63,8958-60,MYTHOLOGICAL,"MYTHOLOGICAL(CHYL), MYTHOLOGICAL(PAN)","Neck: two lions facing one another; body: ADT: “triumph of Apollo”, L-R: A woman with full mantle stands with legs cross facing R, a tripod on top of a  tall Ionic column, then a youth with full, elaborate mantle and dress sits on an animal skin facing R with L hand on the strings of a chelys lyre (8 strings) and R hand lowered, a dish below, a nike (full-size) walks L with a wreath extended to Apollo and a branch, then pan (two horns from forehead) sitting L on a rock, holding out syrinx to L with R hand","Neck: two lions facing one another; body: ADT: “triumph of Apollo”, L-R: A woman with full mantle stands with legs cross facing R, a tripod on top of a  tall Ionic column, then a youth with full, elaborate mantle and dress sits on an animal skin facing R with L hand on the strings of a chelys lyre (8 strings) and R hand lowered, a dish below, a nike (full-size) walks L with a wreath extended to Apollo and a branch, then pan (two horns from forehead) sitting L on a rock, holding out syrinx to L with R hand","1_(CHYL),1_(PAN)","M(CHYL),P(PAN)","C(CHYL),R(PAN)","SEATED(CHYL),SEATED(PAN)","1_F,1_M,1_N,1_P",SINGLE,MANTLE FIGURES (QUASI),,"Body: A woman moves R with a sash and upraised cista, a short stele below, then a youth with drapery over L arm leans R onto a stick, faces R, and holds a wreath and phiale, then a mantle  figure faces L with a strigil and stick","Body: A woman moves R with a sash and upraised cista, a short stele below, then a youth with drapery over L arm leans R onto a stick, faces R, and holds a wreath and phiale, then a mantle  figure faces L with a strigil and stick",,,,,"1_F,2_M",SINGLE,"IMAG8958.jpg, IMAG8959.jpg, IMAG8960.jpg",,,MTH,FUN,,,,,,
,Apulian,,Krater,Volute,360,340,Group of Vatican W 4,,,,Ruvo,Museo Archeologico Nazionale Jatta,414,,15.68,8969-73,MYTHOLOGICAL,MYTHOLOGICAL(KI),"Neck: a woman's frontal head on a flower with scrolls etc.; body: the Danaids sitting on the altar in a sanctuary of Argos: upper, L-R: a youth with cloak, petasos, boots, and kerykion (Hermes) leans R with L foot raised, a woman with spear, aegis, and shield sits L, looks R (Athena), a nude youth with a 5-string kithara sits R on drapery (L hand on strings) (Apollo), a swan stands facing R next to him, an elaborate tripod cauldron; lower, L-R: A bearded man with elaborate dress and scepter moves R, a large, central plinth on which two women sit, legs facing outwards from centre, L looking and gesturing L, R looking L and holding a small branch to R, a youth with cloak, two spears, boots, and a pilos helmet walks L","Neck: a woman's frontal head on a flower with scrolls etc.; body: the Danaids sitting on the altar in a sanctuary of Argos: upper, L-R: a youth with cloak, petasos, boots, and kerykion (Hermes) leans R with L foot raised, a woman with spear, aegis, and shield sits L, looks R (Athena), a nude youth with a 5-string kithara sits R on drapery (L hand on strings) (Apollo), a swan stands facing R next to him, an elaborate tripod cauldron; lower, L-R: A bearded man with elaborate dress and scepter moves R, a large, central plinth on which two women sit, legs facing outwards from centre, L looking and gesturing L, R looking L and holding a small branch to R, a youth with cloak, two spears, boots, and a pilos helmet walks L",1_(KI),M(KI),UPR(KI),SEATED(KI),"3_F,4_M,1_A",2 ROWS,FUNERARY,,"Neck: palmettes; body: a large, central stele on a plinth flanked by two figures on each side, upper L a seated youth with cista facing R, lower L a woman with drapery over arms moving R with phiale, upper R a woman seated R and looking L with wreath and grapes, lower R a nude youth with drapery over arms moves L with phiale and stick","Neck: palmettes; body: a large, central stele on a plinth flanked by two figures on each side, upper L a seated youth with cista facing R, lower L a woman with drapery over arms moving R with phiale, upper R a woman seated R and looking L with wreath and grapes, lower R a nude youth with drapery over arms moves L with phiale and stick",,,,,"2_F,2_M",RADIAL,"IMAG8969.jpg, IMAG8970.jpg, IMAG8971.jpg, IMAG8972.jpg, IMAG8973.jpg",,,MTH,FUN,,,,,,
,Apulian,,Krater,Calyx,360,340,Lycurgus Painter,,,,London,British Museum,F271,,16.05,9002-04,MYTHOLOGICAL,MYTHOLOGICAL(KI),"Madness of Lykourgos: Upper, L-R: a woman leans R, a youth sits on a stool facing L, with spear, looks R, a woman with short chiton and snakes on arm (fury) n a circle flies R and looks down, a hydria below, then A youth with long hair and drapery over legs sits L, looks R, L hand between the arms on the box of a kithara, frontal, with 6 strings, an altar with flame below, then a youth leans L with R foot raised, wearing winged boots, a cap on his neck, and holding a kerykion; lower, L-R: a white-haired man with stick and fancy boots moves R, a youth with drapery over L arm moves R, a man with beard, cloak, sheathed dagger at side, boots, cap, and double-axe lunges R, looks up and L to the youth on a stool, and grabs the hair of a woman with long hair, fancy dress, and L breast exposed who has fallen and faces L, then a woman with short hair and a youth with fluttering cloak carrying a dead youth, head to L, off to the R while looking L; ADT: “Madness of Lycurgus”","Madness of Lykourgos: Upper, L-R: a woman leans R, a youth sits on a stool facing L, with spear, looks R, a woman with short chiton and snakes on arm (fury) n a circle flies R and looks down, a hydria below, then A youth with long hair and drapery over legs sits L, looks R, L hand between the arms on the box of a kithara, frontal, with 6 strings, an altar with flame below, then a youth leans L with R foot raised, wearing winged boots, a cap on his neck, and holding a kerykion; lower, L-R: a white-haired man with stick and fancy boots moves R, a youth with drapery over L arm moves R, a man with beard, cloak, sheathed dagger at side, boots, cap, and double-axe lunges R, looks up and L to the youth on a stool, and grabs the hair of a woman with long hair, fancy dress, and L breast exposed who has fallen and faces L, then a woman with short hair and a youth with fluttering cloak carrying a dead youth, head to L, off to the R while looking L; ADT: “Madness of Lycurgus”",1_(KI),M(KI),UPR(KI),SEATED(KI),"2_F,8_M,1_OW,1_?",2 ROWS,"ATTENDANT, MYTHOLOGICAL",,"Pelops and Oinomaos: Upper, L-R: a youth leans L with a branch, a woman with elaborate dress and veil sits on a cista facing L, looking R, tugging at shoulder, an eros sits L, looks R and down, with a wreath, an Ionic column (from below) with tripod cauldron on top and decorated with a tasseled boukranion, then a woman sits R, looks L, on a cista; lower: a woman with long, elaborate dress moves R following another woman in a long, elaborate dress who gestures at a youth seated R, nude, with boots who scrapes himself with a strigil and looks L, a perirrhanterion between the woman and man, then the column and another youth, with a wheel, cloak, helmet on the back of his neck, and boots walks R and looks L","Pelops and Oinomaos: Upper, L-R: a youth leans L with a branch, a woman with elaborate dress and veil sits on a cista facing L, looking R, tugging at shoulder, an eros sits L, looks R and down, with a wreath, an Ionic column (from below) with tripod cauldron on top and decorated with a tasseled boukranion, then a woman sits R, looks L, on a cista; lower: a woman with long, elaborate dress moves R following another woman in a long, elaborate dress who gestures at a youth seated R, nude, with boots who scrapes himself with a strigil and looks L, a perirrhanterion between the woman and man, then the column and another youth, with a wheel, cloak, helmet on the back of his neck, and boots walks R and looks L",,,,,"4_F,3_M,1_E",2 ROWS,"IMAG9002.jpg, IMAG9003.jpg, IMAG9004.jpg",,,MTH,FUN,,,,,,
,Apulian,,Krater,Calyx,360,340,Lycurgus Painter,,,,Milan,Civico Museo Archeologico,A 1872 (St. 6873),,16.06,9005-07,MYTHOLOGICAL,MYTHOLOGICAL(CHYL),"Atlanta and Parthenopaios: An Ionic column with tripod cauldron frames each side of the scene; above, a youth with petasos, winged sandals, and kerykion sits R and extends hand to a swan, facing L, next to whom a torso-nude youth with long hair reclines L, looks R, holding a bifurcated branch and a sideways chelys lyre with eight pegs/strings by the arm, then a bearded male with elaborate drapery sits with sear facing and gesturing L; below, a woman with long, elaborate, mantled dress moves R, three phialai below, then an old, white-haired male with elaborate costume, boots, and sticks faces and gestures R in front of a kline with footrest, on which a torso-nude youth (Inscribed: Parthenopasos) with mantle covering head sits R and gestures L, then a woman (inscribed above: Atlanta) with long dress and mantle stands facing L","Atlanta and Parthenopaios: An Ionic column with tripod cauldron frames each side of the scene; above, a youth with petasos, winged sandals, and kerykion sits R and extends hand to a swan, facing L, next to whom a torso-nude youth with long hair reclines L, looks R, holding a bifurcated branch and a sideways chelys lyre with eight pegs/strings by the arm, then a bearded male with elaborate drapery sits with sear facing and gesturing L; below, a woman with long, elaborate, mantled dress moves R, three phialai below, then an old, white-haired male with elaborate costume, boots, and sticks faces and gestures R in front of a kline with footrest, on which a torso-nude youth (Inscribed: Parthenopasos) with mantle covering head sits R and gestures L, then a woman (inscribed above: Atlanta) with long dress and mantle stands facing L",1_(CHYL),M(CHYL),UPC(CHYL),SEATED(CHYL),"2_F,5_M,1_A",2 ROWS,DINING (DIONYSIAC),,"Fragmentary (most of upper portion lost); L-R: legs of a youth with a situla and a woman moves R, a fawn below, then a torso-nude youth with long hair reclining L on an animal-skin, a phiale and tripod table below, holding a phiale and thyrsos, then a woman leans R on a column, looks L, a situla and phiale below","Fragmentary (most of upper portion lost); L-R: legs of a youth with a situla and a woman moves R, a fawn below, then a torso-nude youth with long hair reclining L on an animal-skin, a phiale and tripod table below, holding a phiale and thyrsos, then a woman leans R on a column, looks L, a situla and phiale below",,,,,"2_F,1_M,1_A,1_?",SINGLE,"IMAG9005.jpg, IMAG9006.jpg, IMAG9007.jpg",,,MTH,FUN,,,,,,
,Apulian,,Krater,Volute,360,340,Lycurgus Painter,,,,Adolphseck,Schloss Fasanerie,178,,16.11,9015,MYTHOLOGICAL,MYTHOLOGICAL(KI),"Neck: Two griffins attack a stag falling to R; body: Achilles and Penthesileia In the centre, on a rocky outcrop, an amazon falls to her knees facing R, to her L a warrior with helmet on head, greaves, and a cloak and spear reaches down to her, to her R a horse runs away, looking L, a vine grows above, to the upper L a woman sits L tugging at her shoulder and looking L at a small eros facing L with a phiale, to the lower L Athena (aegis, helmet, spear) stands facing R, to the upper R Apollo sits R, torso nude and wreath in hair, playing the kithara and looking L (hands on the strings (6) and plektron in R hand gesturing down, to the lower R an amazon in short chiton with Phrygian helmet and half-moon shield sneaks off to the R and looks L","Neck: Two griffins attack a stag falling to R; body: Achilles and Penthesileia In the centre, on a rocky outcrop, an amazon falls to her knees facing R, to her L a warrior with helmet on head, greaves, and a cloak and spear reaches down to her, to her R a horse runs away, looking L, a vine grows above, to the upper L a woman sits L tugging at her shoulder and looking L at a small eros facing L with a phiale, to the lower L Athena (aegis, helmet, spear) stands facing R, to the upper R Apollo sits R, torso nude and wreath in hair, playing the kithara and looking L (hands on the strings (6) and plektron in R hand gesturing down, to the lower R an amazon in short chiton with Phrygian helmet and half-moon shield sneaks off to the R and looks L",1_(KI),M(KI),UPR(KI),SEATED(KI),"4_F,2_M,1_E,4_A",SINGLE,ATTENDANT (DIONYSIAC),,"“Dionysos seated, with a maenad and two satyrs”","NO PHOTO: “Dionysos seated, with a maenad and two satyrs”",,,,,,,IMAG9015.jpg,,,MTH,FUN,,,,,,
,Apulian,,Krater,Volute,360,340,Lycurgus Painter,,,,Ruvo,Museo Archeologico Nazionale Jatta,1097,,16.16,9025-31,"ATTENDANT (DIONYSIAC), MYTHOLOGICAL","ATTENDANT (DIONYSIAC)(TYM), MYTHOLOGICAL(TYM)",neck: Dionysiac attendant scene; body: women with Aphrodite and eros in the garden of the Hesperides,"Neck: a nike attends a thymiaterion with a phiale, a bearded satyr pours liquid from an amphora into a bucket underneath a grape vine, a torso-nude youth sits facing L with kantharos and thyrsos, a fawn sits R below, a woman leans R on a pillar, faces L, with torch and tympanon, a young satyr with rhyton and oinochoe moves L; body: garden of the Hesperides: in the centre, a tree crows with a serpent coiled around its trunk; to the upper L, three women, one with an eros, with oinochoe, phiale, etc., to the upper R two more women, one sitting on a hydria and the other with a mirror, to the lower L three women with hydriai and a far, and to the lower R three more women with hydria, boxes, etc., a spring with two spouts from the rock in front of the tree (ADT: “Garden of the Hesperides”)",1_(TYM),F(TYM),NECK(TYM),LEANING(TYM),"13_F,2_M,1_E,1_N,1_S,4_A",RADIAL,"MYTHOLOGICAL, RELIGIOUS",,neck: Herakles and the bull; body: sacrifice in front of a temple to Apollo,"Neck: ADT: “Herakles and the bull” - a woman sits facing R and pointing, with spear and shield, a bull faces R and wrestles with a bearded male, lunging L, a youth facing L, then a woman seated on a rock with two spouts and an eros; body: NB: the half-circle in the upper L corner; in the c entre, a 3x2 Ionic temple with a nude  youth with a bifurcated branch and fawn in the centre; to the L upper, two women and Hermes, to the R upper, two women, a small eros, and a white-haired man with perirrhanterion; in the lower portion, a “sacrifice to Apollo” per ADT, with a central altar, an old, bearded officiant behind the fire altar in elaborate dress, three women and a youth to the L of the altar, the bull being brought from the R by a youth with patterned chiton and an older male with patterned tunic and pilos cap who pulls a rope tied to the bull's R front foot to make it bow down",,,,,"10_F,10_M,2_E,5_A",RADIAL,"IMAG9025.jpg, IMAG9026.jpg, IMAG9027.jpg, IMAG9028.jpg, IMAG9029.jpg, IMAG9030.jpg, IMAG9031.jpg",,,MTH,,,,,,,
